source_title,document_id
AIAA Scitech 2019 Forum,287
AIAA Scitech 2019 Forum,288
"ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)",289
Journal of Aircraft,290
Conference Proceedings of the Society for Experimental Mechanics Series,291
"Proceedings of the 21st International Conference on Engineering and Product Design Education: Towards a New Innovation Landscape, E and PDE 2019",292
"Proceedings of the 21st International Conference on Engineering and Product Design Education: Towards a New Innovation Landscape, E and PDE 2019",293
"Proceedings of the 21st International Conference on Engineering and Product Design Education: Towards a New Innovation Landscape, E and PDE 2019",294
Optics InfoBase Conference Papers,295
Optics InfoBase Conference Papers,296
"Proceedings of the International Conference on Engineering Design, ICED",297
"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS",298
"American Society of Mechanical Engineers, Power Division (Publication) POWER",299
"Proceedings of the 15th Symposium on Usable Privacy and Security, SOUPS 2019",300
Applied Optics,301
"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS",302
"Proceedings of the 13th Symposium on Usable Privacy and Security, SOUPS 2017",303
International Conference on Transportation and Development 2019: Smarter and Safer Mobility and Cities - Selected Papers from the International Conference on Transportation and Development 2019,304
"Proceedings of the 14th Symposium on Usable Privacy and Security, SOUPS 2018",305
"Proceedings of the 14th Symposium on Usable Privacy and Security, SOUPS 2018",306
Medical Engineering and Physics,307
Proceedings of the International Telemetering Conference,308
Proceedings of the International Telemetering Conference,309
Proceedings of the International Telemetering Conference,310
Proceedings of the International Telemetering Conference,311
Proceedings of the International Telemetering Conference,312
CAMX 2019 - Composites and Advanced Materials Expo,313
Proceedings of the ASME Design Engineering Technical Conference,314
Proceedings of the ASME Design Engineering Technical Conference,315
Proceedings of the ASME Design Engineering Technical Conference,316
Proceedings of the ASME Design Engineering Technical Conference,317
Proceedings of the ASME Design Engineering Technical Conference,318
Proceedings of the ASME Design Engineering Technical Conference,319
Proceedings of the ASME Design Engineering Technical Conference,320
Proceedings of the ASME Design Engineering Technical Conference,321
Proceedings of the ASME Design Engineering Technical Conference,322
Proceedings of the ASME Design Engineering Technical Conference,323
Proceedings of the ASME Design Engineering Technical Conference,324
Proceedings of the ASME Design Engineering Technical Conference,325
"Minerals, Metals and Materials Series",326
"Journal of Guidance, Control, and Dynamics",327
Computer-Aided Design and Applications,328
Proceedings of the Combustion Institute,329
Biomicrofluidics,330
Proceedings of SPIE - The International Society for Optical Engineering,331
Proceedings of SPIE - The International Society for Optical Engineering,332
AIAA Scitech 2019 Forum,333
AIAA Scitech 2019 Forum,334
"ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)",335
"ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)",336
Proceedings of the ASME Turbo Expo,337
IFAC-PapersOnLine,338
RILEM Bookseries,339
"Journal of Fluids Engineering, Transactions of the ASME",340
IEEE Transactions on Control Systems Technology,341
"11th International Symposium on Turbulence and Shear Flow Phenomena, TSFP 2019",342
"SEFI 47th Annual Conference: Varietas Delectat... Complexity is the New Normality, Proceedings",343
"Proceedings of the 15th Symposium on Usable Privacy and Security, SOUPS 2019",344
International Conference on Transportation and Development 2019: Smarter and Safer Mobility and Cities - Selected Papers from the International Conference on Transportation and Development 2019,345
Journal of Aerospace Information Systems,346
Optics InfoBase Conference Papers,347
"Proceedings of the 14th Symposium on Usable Privacy and Security, SOUPS 2018",348
Geotechnical Special Publication,349
IEEE Journal of Selected Topics in Quantum Electronics,350
SOUPS 2016 - 12th Symposium on Usable Privacy and Security,351
"Proceedings of the 13th Symposium on Usable Privacy and Security, SOUPS 2017",352
Proceedings of the ASME Design Engineering Technical Conference,353
Proceedings of the ASME Design Engineering Technical Conference,354
Advances in Heat Transfer,355
"Computing and Systems Technology Division 2019, Held at the 2019 AIChE Spring Meeting and 15th Global Congress on Process Safety",356
Frontiers in Heat and Mass Transfer,357
Design Science,358
"Journal of Micro/ Nanolithography, MEMS, and MOEMS",359
Computer-Aided Design and Applications,360
Soil Dynamics and Earthquake Engineering,361
IEEE Transactions on Nuclear Science,362
Nanoscale Advances,363
Proceedings of SPIE - The International Society for Optical Engineering,364
Proceedings of SPIE - The International Society for Optical Engineering,365
Computational Materials Science,366
"27th Annual Conference of the International Group for Lean Construction, IGLC 2019",368
"ASME 2019 Dynamic Systems and Control Conference, DSCC 2019",369
AIAA Journal,370
RILEM Bookseries,371
Optics InfoBase Conference Papers,372
"25th AIAA/CEAS Aeroacoustics Conference, 2019",373
"25th AIAA/CEAS Aeroacoustics Conference, 2019",374
"Proceedings of the 15th Symposium on Usable Privacy and Security, SOUPS 2019",375
International Journal of Masonry Research and Innovation,376
Turkish Journal of Electrical Engineering and Computer Sciences,377
Optics InfoBase Conference Papers,378
IEEE Transactions on Power Systems,379
Proceedings of the ASME Design Engineering Technical Conference,380
Proceedings of the ASME Design Engineering Technical Conference,381
Cartilage,382
Science Robotics,383
Journal of Materials Research,384
IEEE Transactions on Nuclear Science,385
IEEE Transactions on Nuclear Science,386
Journal of Adhesion,387
Optics InfoBase Conference Papers,388
Masonry International,389
Mechanics Based Design of Structures and Machines,390
Proceedings of the International ISCRAM Conference,391
Physical Review Fluids,392
Journal of Spacecraft and Rockets,393
Journal of Spacecraft and Rockets,634
"AIAA Spacecraft Structures Conference, 2018",393
"AIAA Spacecraft Structures Conference, 2018",634
Geotechnical Special Publication,394
Proceedings of the International ISCRAM Conference,395
"Minerals, Metals and Materials Series",396
"Minerals, Metals and Materials Series",494
"Minerals, Metals and Materials Series",876
"Minerals, Metals and Materials Series",885
IOP Conference Series: Materials Science and Engineering,396
IOP Conference Series: Materials Science and Engineering,494
IOP Conference Series: Materials Science and Engineering,876
IOP Conference Series: Materials Science and Engineering,885
Mechanisms and Machine Science,396
Mechanisms and Machine Science,494
Mechanisms and Machine Science,876
Mechanisms and Machine Science,885
"Minerals, Metals and Materials Series",396
"Minerals, Metals and Materials Series",494
"Minerals, Metals and Materials Series",876
"Minerals, Metals and Materials Series",885
Frontiers in Marine Science,397
Proceedings of the International Symposium on Radiative Transfer,398
Proceedings of the International Symposium on Radiative Transfer,399
Proceedings of the International Symposium on Radiative Transfer,400
"SPE/IADC Drilling Conference, Proceedings",401
Advances in Space Research,402
IEEE Power and Energy Society General Meeting,403
"2018 IEEE Nuclear and Space Radiation Effects Conference, NSREC 2018",404
"2018 IEEE Nuclear and Space Radiation Effects Conference, NSREC 2018",405
"Proceedings - 2018 IEEE PES Innovative Smart Grid Technologies Conference Europe, ISGT-Europe 2018",406
Lab on a Chip,407
Transportation Research Record,408
"Journal of Electronic Packaging, Transactions of the ASME",409
International Journal of Heat and Mass Transfer,410
Tissue Engineering - Part B: Reviews,411
Journal of Mechanisms and Robotics,412
Chinese Journal of Mechanical Engineering (English Edition),413
IEEE Aerospace and Electronic Systems Magazine,414
Journal of Hydraulic Engineering,415
Journal of Science Education and Technology,416
Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,417
Theoretical and Computational Fluid Dynamics,418
Applied Energy,419
Computer-Aided Design and Applications,420
