affiliation,author_id
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",57218591162
"School of Engineering, University of California, Santa Cruz, CA, United States",57201772566
"School of Engineering, University of California, Santa Cruz, CA, United States",16422844400
"Electrical and Computer Engineering, University of California, Santa Cruz, CA  95064, United States",16422844400
"School of Engineering, University of California, Santa Cruz, 1156 High Street, Santa Cruz, CA  95064, United States",16422844400
"University of California, Santa Cruz, School of Engineering, 1156 High Street, Santa Cruz, CA  95064, United States",16422844400
"Department of ECE, University of California, Santa Cruz 1156 High Street, Santa Cruz, CA  95064, United States",16422844400
"University of California Santa Cruz, School of Engineering, 1156 High Street, Santa Cruz, CA  95064, United States",16422844400
"Department of ECE, University of California, Santa Cruz, 1156 High Street, Santa Cruz, CA  95064, United States",16422844400
"School of Engineering, University of California Santa Cruz, Santa Cruz, CA  95064, United States",16422844400
"University of California, Electrical and Computer Engineering Department, Santa Cruz, CA, United States",16422844400
"School of Engineering, University of California Santa Cruz, 1156 High Street, Santa Cruz, CA  95064, United States",16422844400
"School of Engineering, University of California at Santa Cruz, Santa Cruz, CA  95064, United States",16422844400
"Baskin School of Engineering, University of California, Santa Cruz, Santa Cruz, CA  95064, United States",16422844400
"School of Engineering, University of Californnia at Santa Cruz, Santa Cruz, CA  95064, United States",16422844400
"School of Engineering, University of California, 1156 High Street, Santa Cruz, CA  95064, United States",16422844400
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",7102975249
"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States",7102975249
"Brigham Young University, Electrical and Computer Engineering Department, 450 Engineering Building, Provo, UT  84602, United States",7102975249
"Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",7102975249
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",7102975249
"ECEn Department, Brigham Young University, 459 Clyde Building, Provo, UT  84602, United States",7102975249
"Brigham Young University, Electrical and Computer Engineering, 450 Engineering Building, Provo, UT  84602, United States",7102975249
"Department of ECE, University of California, Santa Cruz 1156 High Street, Santa Cruz, CA  95064, United States",7102975249
"Department of Electrical and Computer Engineering, Brigham Young University, 459 Clyde Building, Provo, UT  84602, United States",7102975249
"School of Engineering, University of California Santa Cruz, Santa Cruz, CA  95064, United States",7102975249
"Brigham Young University, Electrical and Computer Engineering Department, Provo, UT, United States",7102975249
"ECEn Department, 459 Clyde Building, Brigham Young University, Provo, UT  84602, United States",7102975249
"ECEn Department, Brigham Young University, Provo, UT  84602, United States",7102975249
"Brigham Young University, Provo, UT, United States",7102975249
"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT, United States",7102975249
"Brigham Young University, Electrical and Computer Engineering, 459 Clyde Building, Provo, UT  84602, United States",7102975249
"School of Engineering, University of California, 1156 High Street, Santa Cruz, CA  95064, United States",7102975249
"School of Environment and Guangdong Key Laboratory of Environmental Pollution and Health, Jinan University, Guangzhou, 510632, China, Department of Civil and Environmental Engineering, University of Wisconsin-Madison, Madison, WI  53706, United States",57193338296
"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States",57194692502
"Department of Civil and Environmental Engineering, University of Wisconsin-Madison, Madison, WI  53706, United States",57202017958
"Department of Civil and Environmental Engineering, University of Wisconsin-Madison, Madison, WI  53706, United States",57205128747
"Department of Civil and Environmental Engineering, University of Wisconsin-Madison, Madison, WI  53706, United States",55829396600
"Brigham Young University, Provo, UT, United States",57201634652
"Brigham Young University, United States",57201634652
"Brigham Young University, Provo, UT, United States",57218685929
"Brigham Young University, Provo, UT, United States",18535712500
"Brigham Young University, United States",18535712500
"Information Systems, Brigham Young University, Provo, UT, United States",18535712500
"Brigham Young University, Provo, UT  84602, United States",18535712500
"Manufacturing Engineering Technology, Brigham Young University, Provo, UT  84602, United States",18535712500
"Yuri Hovanski, Brigham Young University, Provo, UT, United States",18535712500
"Electrical and Computer Engineering Department, Brigham Young University, Provo, UT, United States",56248593800
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",56248593800
"Department of Electrical and Computer Engineering, Brigham Young University, United States",56248593800
"Department of Electrical Engineering, Brigham Young University, Provo, UT, United States",56248593800
"Department of Electrical Engineering, Brigham Young University ProvoUT, United States",56248593800
"Air Force Research Laboratory, Control Center of Excellence, Wpafb, Dayton, OH, United States",10640480600
"Air Force Research Laboratory, Department of Mechanical Engineering, Wright–Patterson Air Force BaseOH  45433, United States",10640480600
"Infoscitex Corporation, Dayton, OH, United States",24923036100
"Miami Valley Aerospace Llc, Afrl, Wright-Patterson Afb, Dayton, OH, United States",7201675107
"Department of Civil and Environmental Engineering, Brigham Young University, ProvoUT, United States, Coreform LLC, OremUT, United States",56330168500
"Department of Civil and Environmental Engineering, Brigham Young University, Provo, UT, United States",56330168500
"Department of Civil and Environmental Engineering, Brigham Young University, Provo, UT  84602, United States",56330168500
"Brigham Young University, United States",56330168500
"Department of Civil and Environmental Engineering, Brigham Young University, ProvoUT, United States, Coreform LLC, OremUT, United States",9942259800
"Department of Civil and Environmental Engineering, Brigham Young University, Provo, UT, United States",9942259800
"Civil and Environmental Engineering, Brigham Young University, Provo, UT  84602, United States",9942259800
"Department of Civil and Environmental Engineering, Brigham Young University, Provo, UT  84602, United States",9942259800
"Department of Civil and Environmental Engineering, Brigham Young University, 368 CB, Provo, UT  84602, United States",9942259800
"Brigham Young University, United States",9942259800
"Civil and Environmental Engineering, Brigham Young University, Provo, UT, United States",9942259800
"Department of Civil and Environmental Engineering, Brigham Young University, ProvoUT, United States",57201257192
"Department of Civil and Environmental Engineering, Brigham Young University, Provo, UT, United States",57201257192
"Department of Civil and Environmental Engineering, Brigham Young University, 368 CB, Provo, UT  84602, United States",57201257192
"Institute for Structural Mechanics, University of Stuttgart, Stuttgart, Germany",56260937200
"Institute for Structural Mechanics, University of Stuttgart, Stuttgart, Germany",57081918700
"Fachgebiet Statik und Dynamik, Brandenburgische Technische Universität Cottbus-Senftenberg, Cottbus, Germany",55487415500
"Lehrstuhl für Technische Mechanik, Technische Universität Kaiserslautern, Gottlieb-Daimler-StrKaiserslautern, 67663, Germany",55487415500
"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",7202083837
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",7202083837
"Brigham Young University, Provo, United States",7202083837
"Brigham Young University, Provo, UT, United States",7202083837
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",7202083837
"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States",7202083837
"Brigham Young University, Electrical Computer Engineering, 450-K Engineering Building, Provo, UT  84602, United States",7202083837
"Brigham Young University, United States",7202083837
"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",57210290270
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",57210290270
"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",57210288045
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",57210288045
"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",57210287166
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",57210287166
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",57210287166
"Applied and Computational Mathematics, Brigham Young University, Provo, UT, United States",57211254337
"Applied and Computational Mathematics, Brigham Young University, Provo, UT, United States, Department of Electrical Engineering, Brigham Young University, Provo, UT, United States",57210292389
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",57210292389
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",57210292389
"Applied and Computational Mathematics, Brigham Young University, Provo, UT, United States",57218761022
"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",35147940600
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",35147940600
"Department of Electrical and Computer Engineering, Brigham Young UniversityUT, United States",35147940600
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",35147940600
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",57201912667
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",7202282831
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",57218107757
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",57198832579
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",57218097969
"Department of Civil and Environmental Engineering, Brigham Young University, Provo, UT  84602, United States",7003302831
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",16066928300
"Department of Marketing & Global Supply Chain Management, Marriott School of Business, Brigham Young University, 663 TNRB, Provo, UT  84602, United States",57213342768
"Marriott School of Business, Brigham Young University, Provo, UT, United States",57213342768
"University of Dayton, Dayton, OH  45410, United States",56584019300
"Brigham Young University, Provo, UT  84602, United States",56584019300
"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States",56584019300
"Brigham Young University, Provo, UT  84604, United States",56584019300
"Brigham Young University, Department of Mechanical Engineering, Provo, UT  84602, United States",56584019300
"Brigham Young University, Provo, UT  84602, United States",57217581937
"Brigham Young University, Provo, UT  84602, United States",57214937519
"Department of Mechanical Engineering, Brigham Young University, 350 EB, Provo, UT  84602, United States",57214937519
"Brigham Young University, Provo, UT  84602, United States",57217581770
"NASA Goddard Space Flight Center, Greenbelt, MD  20771, United States",55542008600
"Brigham Young University, Provo, UT  84602, United States",56714263700
"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States",56714263700
"Brigham Young University, Provo, UT  84604, United States",56714263700
"Brigham Young University, Department of Mechanical Engineering, Provo, UT  84602, United States",56714263700
"Brigham Young University, Provo, UT  84602, United States",8608718200
"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States",8608718200
"Brigham Young University, Provo, UT  84604, United States",8608718200
"Brigham Young University, Department of Mechanical Engineering, Provo, UT  84602, United States",8608718200
"Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States",8608718200
"National Institute of Standards and Technology, Gaithersburg, MD  20899, United States, Department of Physics and Astronomy, Howard University, Washington, DC  20059, United States, School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, AZ  85287, United States",17341858700
"School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, AZ  85287, United States",42062742100
"School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, AZ  85287, United States, U.S. Army Research Laboratory, Aberdeen Proving Ground, MD  21005, United States",55802018400
"School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, AZ  85287, United States, Department of Materials Science and Engineering, North Carolina State University, Raleigh, NC  27695, United States",36515506800
"School for Engineering of Matter, Transport and Energy, Arizona State University, Tempe, AZ  85287, United States, Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States",56735940800
"Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States, Predictive Chemical and Nuclear Simulations, Pacific Northwest National Laboratory, Richland, WA, United States",56735940800
"Department of Chemical, University of Wyoming, Laramie, WY  82071, United States",57194874146
"Department of Chemical, University of Wyoming, Laramie, WY  82071, United States",8935141300
"Department of Chemical, University of Wyoming, Laramie, WY  82071, United States",57194231165
"Department of Chemical & Petroleum Engineering, University of Wyoming, Laramie, WY  82071, United States",6601976036
"Department of Chemical & Petroleum Engineering, University of Wyoming, Laramie, WY  82071, United States",35547089300
"Chemical Engineering Department, Brigham Young University, Provo, UT  84602, United States",7004479819
"Department of Chemical Engineering, Brigham Young University, 330 Engineering Building, Provo, UT  84602, United States",7004479819
"Department of Chemical Engineering, Brigham Young University, Provo, UT  84602, United States",7004479819
"Department of Chemical Engineering, Brigham Young University, 350 Clyde Building, Provo, UT  84604, United States",7004479819
"Department of Chemical, University of Wyoming, Laramie, WY  82071, United States",55413647400
"Western Research Institute, 3474 North 3rd Street, Laramie, WY  82072, United States",55739722900
"Department of Chemical, University of Wyoming, Laramie, WY  82071, United States, School of Energy Resources, University of Wyoming, Laramie, WY  82071, United States, School of Civil & Environmental Engineering, Georgia Institute of Technology, Atlanta, GA  30332, United States, Department of Chemical & Petroleum Engineering, University of Wyoming, Laramie, WY  82071, United States",7201970805
"Departments of Petroleum and Chemical Engineering, University of Wyoming, Laramie, WY  82071, United States, School of Energy Resources, University of Wyoming, Laramie, WY  82071, United States",7201970805
"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States",57217041570
"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States",57200117690
"Electrical and Computer Engineering, Brigham Young Univeristy, Provo, UT, United States",57200117690
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",57200117690
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84042, United States",57200117690
"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States",57207689986
"Brigham Young University, United States",57207689986
